-5	144.413
-4.8	117.71
-4.6	95.8843
-4.4	78.0509
-4.2	63.4863
-4	51.5982
-3.8	41.9012
-3.6	33.9982
-3.4	27.5641
-3.2	22.3325
-3	18.0855
-2.8	14.6446
-2.6	11.8637
-2.4	9.62318
-2.2	7.82501
-2	6.38906
-1.8	5.24965
-1.6	4.35303
-1.4	3.6552
-1.2	3.12012
-1	2.71828
-0.8	2.42554
-0.6	2.22212
-0.4	2.09182
-0.2	2.0214
2.16493e-15	2
0.2	2.01873
0.4	2.07032
0.6	2.14881
0.8	2.24933
1	2.36788
1.2	2.50119
1.4	2.6466
1.6	2.8019
1.8	2.9653
2	3.13534
2.2	3.3108
2.4	3.49072
2.6	3.67427
2.8	3.86081
3	4.04979
3.2	4.24076
3.4	4.43337
3.6	4.62732
3.8	4.82237
4	5.01832
4.2	5.215
4.4	5.41228
4.6	5.61005
4.8	5.80823
