-5	1.00337
-4.8	1.00411
-4.6	1.00503
-4.4	1.00614
-4.2	1.0075
-4	1.00916
-3.8	1.01119
-3.6	1.01366
-3.4	1.01669
-3.2	1.02038
-3	1.02489
-2.8	1.03041
-2.6	1.03714
-2.4	1.04536
-2.2	1.0554
-2	1.06767
-1.8	1.08265
-1.6	1.10095
-1.4	1.1233
-1.2	1.1506
-1	1.18394
-0.8	1.22466
-0.6	1.27441
-0.4	1.33516
-0.2	1.40937
2.16493e-15	1.5
0.2	1.6107
0.4	1.74591
0.6	1.91106
0.8	2.11277
1	2.35914
1.2	2.66006
1.4	3.0276
1.6	3.47652
1.8	4.02482
2	4.69453
2.2	5.51251
2.4	6.51159
2.6	7.73187
2.8	9.22232
3	11.0428
3.2	13.2663
3.4	15.9821
3.6	19.2991
3.8	23.3506
4	28.2991
4.2	34.3432
4.4	41.7254
4.6	50.7422
4.8	61.7552
