-5	0.00673795
-4.8	0.00822975
-4.6	0.0100518
-4.4	0.0122773
-4.2	0.0149956
-4	0.0183156
-3.8	0.0223708
-3.6	0.0273237
-3.4	0.0333733
-3.2	0.0407622
-3	0.0497871
-2.8	0.0608101
-2.6	0.0742736
-2.4	0.090718
-2.2	0.110803
-2	0.135335
-1.8	0.165299
-1.6	0.201897
-1.4	0.246597
-1.2	0.301194
-1	0.367879
-0.8	0.449329
-0.6	0.548812
-0.4	0.67032
-0.2	0.818731
2.16493e-15	1
0.2	1.2214
0.4	1.49182
0.6	1.82212
0.8	2.22554
1	2.71828
1.2	3.32012
1.4	4.0552
1.6	4.95303
1.8	6.04965
2	7.38906
2.2	9.02501
2.4	11.0232
2.6	13.4637
2.8	16.4446
3	20.0855
3.2	24.5325
3.4	29.9641
3.6	36.5982
3.8	44.7012
4	54.5982
4.2	66.6863
4.4	81.4509
4.6	99.4843
4.8	121.51
